miRNA genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mmu-miR-3070-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7014-5p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6991-3p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-590-3p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-3960,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7070-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6546-3p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-3106-3p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6909-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-466q,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-3569-5p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-497b,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-1970,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6964-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-293-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6911-5p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-5133,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7070-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-1947-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
